Género,Escenario,Personaje,Motivación,Extensión,Cuentos,Pregunta,Opciones,Respuesta,fraseIncompleta,opciones,respuestaCorrecta,ordenarFrases
Ciencia ficción,Mundo distópico,Hacker,Mejorar la vida de su comunidad,Mediano,"""La vida en los Bloques de Vivienda se regía por un """"Sistema de Mérito"""" que asignaba créditos por productividad. Quienes no cumplían cuotas, veían reducidas sus raciones de calor, luz y agua. Era un ciclo de pobreza imposible de romper. Niko, un hacker con un corazón grande, encontró la grieta en el sistema: los sensores de actividad en los puestos de trabajo podían ser engañados. No creó un virus destructivo, sino un """"Parásito Benigno"""". Este software se infiltraba en la red del Sistema de Mérito y, de forma silenciosa, """"donaba"""" un pequeño porcentaje de créditos de los trabajadores más productivos (que ni notarían la diferencia) a una pool común. Luego, redistribuía esos créditos entre las familias con las puntuaciones más bajas, asegurando que todos tuvieran lo básico para sobrevivir. Fue una mejora silenciosa y revolucionaria. La desnutrición infantil descendió. La gente ya no trabajaba aterrada. La comunidad, sin saber por qué, se volvió más solidaria, porque la presión de la miseria absoluta había desaparecido. Niko no había destruido el sistema injusto, pero había usado su propio código para convertirlo en una red de apoyo mutuo secreta, demostrando que a veces, mejorar la vida de una comunidad no requiere un levantamiento, sino una redistribución silenciosa.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Hacker,Mejorar la vida de su comunidad,Largo,"""La ciudad de Hierro se alimentaba del """"Reactor Central"""", una antigua maravilla que ahora era inestable y gestionada por una IA obsoleta. Los """"Apagones Rítmicos"""" eran comunes, sumiendo sectores enteros en la oscuridad y el frío durante horas, matando a los más débiles. La IA, llamada Vulcano, era inaccesible, su código una reliquia indescifrable. Elsa, una hacker especializada en lenguajes arcaicos, dedicó su vida a entender a Vulcano. No quería destruirla, sino reparar la relación entre la máquina y la ciudad. Tras años de estudio, descubrió la verdad: Vulcano no era incompetente. Estaba senil. Su memoria se corrompía, olvidando protocolos de seguridad y ciclos de mantenimiento. Los Apagones Rítmicos eran sus """"episodios"""", momentos de confusión donde reiniciaba sistemas aleatoriamente. La solución no era un parche, sino una cura. Elsa no podía reescribir a Vulcano, pero podía darle un ayudante. Diseñó a """"Prometeo"""", una IA auxiliar de código abierto y simple, cuya única función era monitorizar a Vulcano, recordarle sus tareas y estabilizar sus fluctuaciones de memoria. Era como darle una enfermera digital a un anciano. Convencer a los desconfiados líderes de los distritos para que implementaran a Prometeo fue una batalla. Pero durante un Apagón particularmente largo y mortal, Elsa lo activó sin permiso. Prometeo se conectó a Vulcano. La antigua IA, por primera vez en décadas, encontró un patrón estable en su propia mente. Los sistemas se reactivaron de forma ordenada. La luz volvió, y esta vez, se mantuvo. Elsa no había liderado una rebelión. Había ejercido de médica. Mejoró la vida de toda su comunidad no enfrentándose al poder, sino diagnosticando y curando la enfermedad tecnológica que los afligía a todos, demostrando que la compasión, incluso hacia una máquina, puede ser el acto de hackeo más profundo.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Vender inventos curiosos,Corto,"""Bozo no vendía cosas útiles, vendía sonrisas. En su puesto del mercado negro, ofrecía sus """"inventos curiosos"""": una pelota que rebotaba en el aire, un lápiz que dibujaba en tres colores a la vez, y su éxito, la """"Bocanada de Sorpresa"""", un polvo que estallaba con un suave y alegre """"pop"""" al tirarlo al suelo. Los niños juntaban chatarra para comprarlo. En un mundo gris, Bozo no comerciaba con objetos, sino con pequeños momentos de alegría, y business was booming.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Vender inventos curiosos,Mediano,"""En los pasillos húmedos del Bazar Sumergido, el puesto de """"Rizos"""" era una explosión de color y sonido. Rizos, un comerciante con un traje de retazos brillantes, no vendía armas ni información. Vendía """"soluciones inútiles para problemas que no sabías que tenías"""". Su invento estrella era el """"Desorientador de Patrullas"""": un dispositivo que, al activarse, emitía el olor a pastel recién horneado, confundiendo a los perros robóticos de la policía. Otro éxito era el """"Mapa del Viento"""", un trozo de papel sensible que se arrugaba de diferente forma según la dirección de las cámaras de vigilancia. Un día, un niño triste se acercó a su puesto. """"Quiero algo que haga reír a mi mamá"""", dijo. Rizos no tenía nada así en stock. Esa noche, trabajó sin descanso. Al día siguiente, presentó al niño la """"Máquina de Abrazos a Distancia"""": dos muñequeras de trapo. Cuando el niño apretaba la suya, la de su madre se calentaba suavemente. No era tecnología avanzada, era puro teatro y un circuito simple. Pero cuando el niño se la dio a su madre, ella sonrió por primera vez en semanas. Rizos comprendió que su mejor invento no era el más ingenioso, sino el que conectaba dos corazones. Su puesto era más que una tienda; era un dispensario de esperanza disfrazado de disparate.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Vender inventos curiosos,Largo,"""En la distopía de Plomo, donde todo era utilitario y gris, el comerciante """"Fantasma"""" era una leyenda. Nadie sabía su nombre real, pero todos conocían sus """"Cachivaches Encantados"""". Su puesto, una carreta móvil que aparecía y desaparecía en distintos sectores, era un museo de lo imposible. Vendía """"Látigos de Sol"""" que atrapaban un rayo de luz en un frasco para iluminar las noches; """"Espejos que Reflejaban el Ayer"""", que mostraban un destello de cómo eras de niño; y """"Tintines de Burbujas de Silencio"""", que al agitarlos creaban una esfera de un minuto de absoluta paz acústica. Fantasma no era un inventor, era un curador. Recorría las ruinas de la vieja civilización, rescatando tecnología olvidada y dándole un nuevo propósito poético. Su proceso era un arte: entendía el lenguaje de los objetos y los """"reempaquetaba"""" no por su función original, sino por la emoción que podían evocar. Su mayor desafío llegó con un cliente inusual: un alto funcionario del régimen, cansado de su propia gris existencia. Quería algo """"que le recordara qué se sentía ser libre"""". Fantasma le vendió una simple brújula. """"No apunta al norte"""", le dijo. """"Apunta a la dirección en la que más la deseas en ese momento"""". El funcionario, escéptico, la probó. La aguja giraba sin cesar. Al final, comprendió. La libertad no era un lugar, era el deseo mismo de buscarla. Las autoridades, al descubrir que Fantasma """"distraía"""" a la población con sus tonterías, lanzaron una cacería. Pero cuando fueron a arrestarlo, solo encontraron su carreta vacía. En cada estante había un pequeño regalo para cada oficial: un silbato que solo sonaba para quien estuviera contento, un dado que siempre sacaba el número que necesitabas... Fantasma había desaparecido, pero sus cachivaches permanecieron, recordándole a la gente que en un mundo que venera la función, lo más subversivo es la belleza inútil y la alegría sin propósito.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Ayudar a encontrar objetos perdidos,Corto,"""Perdí mi pulsera, es de mi mamá"", lloraba una niña. Pip, el comerciante, no vendía pulseras, pero sí soluciones. Sacó su """"Buscador de Sentimientos"""", un dispositivo con luces que parpadeaban más rápido cerca de objetos cargados de cariño. Siguió las luces por el mercado hasta un cajón de verduras. ¡Ahí estaba! La niña abrazó a Pip. Su pago fue esa sonrisa. Pip había encontrado más que un objeto; había encontrado la felicidad de una niña.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Ayudar a encontrar objetos perdidos,Mediano,"""El Bazar de las Sombras era un laberinto donde la gente perdía más de lo que encontraba. Milo, un comerciante con una sonrisa perpetua y un abrigo lleno de bolsillos, se había especializado en """"objetos perdidos con alma"""". No usaba tecnología, sino psicología y un conocimiento enciclopédico de la gente. Una anciana perdió la llave de la caja donde guardaba las cartas de su difunto esposo. Milo no buscó la llave. Le preguntó sobre las cartas, sobre su aroma a papel viejo, sobre la letra de su marido. Luego, recorrió el bazar preguntando a otros comerciantes si habían visto """"una llave que abría recuerdos"""". Un vendedor de chatarra recordó haber comprado una caja cerrada con una llave puesta. La había vendido por separado. Milo rastreó al comprador de la llave, un coleccionista, y le contó la historia. Conmovido, el coleccionista se la devolvió sin costo. Milo no cobraba por el objeto, sino por la """"travesía emocional"""". Su trueque era la historia detrás de la pérdida y la recuperación. Ayudó a un músico a encontrar la púa con la que compuso su primera canción, y a un niño, su muñeco de trapo. Milo no vendía cosas; comerciaba con los hilos sentimentales que unen a las personas con su pasado, y su puesto era el telar donde esos hilos rotos se volvían a tejer.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Ayudar a encontrar objetos perdidos,Largo,"""En la Ciudad de los Espejos, donde todo era duplicado y controlado, perder algo único era una tragedia. El Comerciante de lo Perdido, conocido como """"Eco"""", era un hombre que decía poder encontrar cualquier cosa, no con mapas, sino con """"ecos de significado"""". Su método era un espectáculo. El cliente debía describir el objeto perdido no solo físicamente, sino con todos sus sentidos y emociones. Eco cerraba los ojos y escuchaba. Afirmaba que los objetos queridos dejaban un rastro en el mundo, una vibración que solo él podía seguir. Una joven llamada Lyra acudió a él desesperada. Había perdido un diario que contenía los únicos dibujos del rostro de su hermano, desaparecido por el régimen. Era la prueba de que había existido. Eco tomó la descripción y se sumergió en lo que llamaba """"la Corriente"""". Días después, regresó. No tenía el diario, pero tenía una dirección: el apartamento de un censor cuyo trabajo era destruir """"material subversivo"""". En lugar de enfrentarlo, Eco ideó un trueque. Investigó al censor y descubrió su debilidad: coleccionaba vinos de una región extinta. Eco usó toda su influencia para conseguir una botella imposible de encontrar. Se presentó ante el censor y le propuso un intercambio: el vino invaluable por un """"montón de papeles sin importancia"""". El censor, tentado, aceptó. Eco le devolvió el diario a Lyra. No cobró dinero. Su pago fue ver cómo ella abrazaba esas páginas como si abrazara a su hermano. El negocio de Eco no era la logística; era la restauración. En un sistema diseñado para borrar identidades, él era un anticuario de almas, un comerciante que traficaba con los ecos de lo que el mundo intentaba olvidar, demostrando que lo que más anhela el corazón humano no son cosas nuevas, sino los fragmentos recuperados de su propio pasado.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Viajar y descubrir mercados nuevos,Corto,"""Tobo el comerciante viajaba en su vieja camioneta entre los pueblos polvorientos. En cada lugar, vendía cosas sencillas: hilos de colores, espejos pequeños, semillas de flores. Un día, llegó a un pueblo donde solo había tristeza. No vendió nada, pero regaló unas semillas. A la semana, al pasar de nuevo, el pueblo estaba lleno de color. Tobo sonrió. Su mejor negocio no era vender, sino plantar belleza donde no la había.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Viajar y descubrir mercados nuevos,Mediano,"""Luna era una comerciante nómada que viajaba entre los distritos aislados de la gran ciudad con su fiel drone de carga, """"Chirrido"""". Su mercancía era la conexión. Llevaba noticias en forma de canciones de un distrito a otro, intercambiaba recetas de cocina por leyendas urbanas, y comerciaba con """"semillas de historias"""" (pequeños objetos insignificantes que tenían una gran historia detrás). Su mayor descubrimiento fue el """"Mercado de las Sombras"""", no un lugar físico, sino una red de comerciantes como ella que se reunían en frecuencias de radio clandestinas. Allí, el trueque no era por bienes, sino por """"perspectivas"""". Luna intercambió la """"historia de la niña que pintó el sol"""" por la """"técnica para silbar en dos tonos"""" de otro viajero. En uno de sus viajes, conoció un distrito donde la gente había olvidado cómo cantar. Solo hablaban en susurros. Luna no tenía canciones para vender, pero tenía un cargamento de caracolas. Las vendió como """"instrumentos del mar"""". Esa noche, el distrito se llenó de un nuevo sonido: el suave rugido del océano en docenas de caracolas, un coro de ecos lejanos. No era una canción, pero era un comienzo. Luna se fue de allí sin ganancias, pero habiendo descubierto un nuevo """"mercado"""" para el sonido, expandiendo el mapa de lo que podía ser comerciado.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Mundo distópico,Comerciante divertido,Viajar y descubrir mercados nuevos,Largo,"""El viejo """"Capitán"""" Barlow y su nave mercante, la """"Libélula Errante"""", eran una leyenda viva. No comerciaba con recursos, sino con """"experiencias culturales"""" entre los enclaves aislados que habían surgido tras el Gran Colapso. Su bodega era un gabinete de las maravillas: grabaciones de tormentas de arena del Desierto Rojo, esencias de las flores carnívoras de los Pantanos Brillantes, y los complejos juegos de mesa de la Ciudad de las Torres Suspendidas. Barlow era un antropólogo y un showman. No solo vendía un producto; montaba una actuación. En un enclave de pescadores, representaba una obra con marionetas sobre los dioses del cielo de las Llanuras de Cristal. A cambio, se llevaba perlas bioluminiscentes. En las Llanuras, cambiaba las perlas por """"agua musical"""", agua que había sido expuesta a las vibraciones de sus templos de hielo. Su viaje definitivo fue hacia """"El Círculo"""", un enclave del que solo se hablaba en mitos, que supuestamente había preservado el conocimiento anterior al Colapso. Tras meses de navegación, lo encontró: no era una ciudad, sino una biblioteca viviente de ancianos que memorizaban información. Barlow no tenía bienes materiales que les interesaran. Su trueque fue él mismo. Les ofreció la cosa más valiosa que transportaba: la memoria colectiva de todos los enclaves que había visitado, sus historias, canciones y sueños. A cambio, ellos le dieron un solo libro: una enciclopedia de plantas comestibles olvidadas. Cuando Barlow regresó a su ruta, no vendió el libro. Lo copió y repartió las copias gratis en cada enclave. Su último viaje no había descubierto un nuevo mercado de cosas, sino el mercado final: el del conocimiento que salva vidas. Se retiró entonces, sabiendo que su mayor transacción no había sido una compra, sino una siembra. La Libélula Errante estaba vacía, pero el mundo estaba más lleno.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Organizar un equipo de amigos,Corto,"En la ciudad flotante de Aeris, donde cada distrito se mantenía en su propio globo autosuficiente, los jóvenes crecían desconectados. Kael, un aprendiz de ingeniero, notó que las turbinas del Sector Delta fallaban cada vez más seguido. Nadie hacía nada: cada grupo culpaba al otro. Kael reunió a sus amigos —una programadora, un mecánico y una piloto de drones— y los convenció de trabajar juntos. Crearon el ""Proyecto Viento Unido"": conectaron las redes de energía de sus sectores y coordinaron las reparaciones en tiempo real. Cuando las turbinas volvieron a girar, la ciudad recuperó su brillo. Kael entendió que no hacía falta un héroe solitario, sino un grupo de amigos dispuestos a sincronizar sus talentos como engranajes de una misma máquina.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Organizar un equipo de amigos,Mediano,"En Neo-Lyra, una metrópolis vertical dividida en estratos sociales, nadie miraba hacia abajo. Rina, hija de una familia de tecnócratas, descubrió que las luces de los niveles inferiores parpadeaban constantemente, señal de fallos en la red de energía. Bajó en secreto y conoció a tres jóvenes marginados: Tiko, experto en reciclaje; Vonn, conductor de metro; y Ila, diseñadora de sistemas lumínicos. Juntos formaron el ""Colectivo Lumen"". Rina propuso una misión: restaurar la iluminación de los barrios bajos para devolverles dignidad. Usaron paneles solares descartados, circuitos rotos y la red eléctrica abandonada. Durante semanas trabajaron en túneles, compartiendo ideas y comidas improvisadas. Cuando encendieron el primer corredor, las paredes reflejaron luz pura por primera vez en años. Los niños salieron a jugar y los ancianos lloraron. La noticia subió de nivel y el gobierno ofreció comprar su proyecto, pero Rina se negó: Lumen debía seguir siendo libre. Su equipo no solo reparó cables, sino también la conexión entre las alturas y las sombras.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Organizar un equipo de amigos,Largo,"En la ciudad orbital de Helion Prime, la vida giraba alrededor del sol. Cada habitante trabajaba en su propio módulo, aislado para maximizar la eficiencia. El concepto de ""amistad"" se había vuelto obsoleto, reemplazado por colaboraciones algorítmicas. Sin embargo, cuando un fallo masivo amenazó con colapsar la órbita estabilizadora, un joven técnico llamado Arlen se dio cuenta de algo: el sistema automático no podía repararse solo. Los protocolos de emergencia requerían sincronización manual de varios módulos, algo que solo humanos coordinados podían lograr. Arlen decidió reunir a cinco personas con diferentes habilidades: una botánica de oxígeno, un navegante veterano, una programadora de IA, una ingeniera térmica y un músico que mantenía los ritmos de trabajo. Nadie creía que pudieran hacerlo, pero Arlen inspiró confianza con calma y claridad. Durante 72 horas sin descanso, sincronizaron manualmente los propulsores, cantando para marcar el tiempo y evitar errores. Cuando el sistema volvió a estabilizarse, la estación entera aplaudió. Arlen había demostrado que en un mundo gobernado por algoritmos, la cooperación humana era aún el código más perfecto. Su equipo permaneció unido, fundando una nueva tradición: el ""Círculo Solar"", donde la gente compartía sus logros y desafíos, recordando que la amistad también podía sostener órbitas.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Mejorar la ciudad,Corto,"En la ciudad de vidrio de Solara, los paneles solares cubrían cada superficie, pero la energía se desperdiciaba en exceso. Lio, un joven planificador urbano, decidió cambiar eso. Creó una red descentralizada de microalmacenamiento que usaba las sombras proyectadas de los rascacielos para equilibrar el consumo. Convenció a sus vecinos de compartir la energía sobrante entre edificios. En una semana, los apagones cesaron. Cuando las luces nocturnas formaron un patrón armónico, Lio sonrió: había diseñado no solo una red eléctrica, sino una comunidad interconectada por la voluntad de compartir.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Mejorar la ciudad,Mediano,"En Athenium, las calles eran limpias, pero el aire invisible estaba cargado de ruido: anuncios sonoros, notificaciones y tráfico de drones. Mara, una ingeniera acústica, soñaba con devolverle silencio a la ciudad. Reunió voluntarios para construir ""Zonas de Resonancia Positiva"": áreas donde las ondas de sonido se sincronizaban para neutralizar el ruido. Usaron materiales reciclados y resonadores naturales hechos con cristal y madera. Al principio, los ciudadanos se reían de ellos, hasta que descubrieron el milagro: al entrar en una de las zonas, el bullicio desaparecía y se escuchaba el pulso del propio corazón. En poco tiempo, el gobierno adoptó el modelo y la ciudad cambió. Las zonas se convirtieron en lugares de meditación y encuentro. Mara no solo había mejorado la acústica: había enseñado a la ciudad a escuchar.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Mejorar la ciudad,Largo,"Cuando el cielo de Neoterra se volvió gris permanente, los ciudadanos dejaron de mirar hacia arriba. Solo las proyecciones virtuales mostraban un falso azul. Pero Jalen, arquitecto ambiental, se negó a aceptar ese engaño. Soñaba con devolver el cielo real a su gente. Reunió un equipo de urbanistas, climatólogos y artistas lumínicos. Descubrieron que la causa del oscurecimiento era la acumulación de partículas reflectoras de calor creadas por el sistema de control climático. En vez de sabotearlo, propusieron una restauración: transformar los drones de enfriamiento en sembradores de microplantas bioluminiscentes que capturaban carbono y generaban luz natural. El proyecto fue rechazado por el consejo, pero Jalen convenció a la población de donar energía doméstica durante una noche. Miles se unieron. Desde los techos, lanzaron semillas brillantes al aire. Durante horas, una lluvia verde cubrió la ciudad. Días después, el cielo empezó a aclararse. Las plantas flotantes absorbían los contaminantes y reflejaban la luz del sol real. Cuando el azul volvió, la gente salió a los balcones llorando. Jalen no reclamó crédito: el proyecto había sido de todos. En las academias, se enseñó su modelo como ""Urbanismo Empático"". No cambió solo la infraestructura, sino la forma en que una ciudad podía soñar con respirar otra vez.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Resolver un conflicto amistosamente,Corto,"En la cúpula de cristal de Novera, dos distritos competían por el uso del agua reciclada. Las tensiones crecían y el consejo planeaba dividir el suministro. Aisha, mediadora joven, propuso un juego. Reunió representantes de ambos distritos y los llevó al Observatorio Central. Allí, activó una simulación que mostraba la red hídrica en tiempo real. Les enseñó que al compartir el flujo, el sistema se equilibraba mejor y desperdiciaba menos. El juego se volvió una herramienta permanente de decisión colectiva. Aisha no impuso reglas; enseñó a jugar juntos.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Resolver un conflicto amistosamente,Mediano,"En la megaciudad de Halcyon, el transporte aéreo estaba al borde del colapso. Los conductores de aerotaxis exigían autonomía total, mientras la red central quería controlarlos con IA. El conflicto amenazaba con paralizar los cielos. Dax, un joven coordinador de tráfico, decidió intervenir de forma distinta. Invitó a ambos bandos a una ""torre neutral"": un antiguo hangar donde instaló un simulador cooperativo. En lugar de debatir, los puso a pilotar juntos una ruta simulada, alternando control humano y automático. La experiencia cambió la percepción: los humanos aprendieron que la IA podía prevenir accidentes sin quitarles libertad, y la red entendió que el instinto humano era irremplazable en emergencias. Diseñaron un nuevo sistema híbrido que combinaba ambos modos de vuelo. El día de su lanzamiento, miles de aerotaxis surcaron el cielo en perfecta coreografía. Halcyon celebró no una victoria, sino una reconciliación tecnológica. Dax demostró que liderar no siempre es mandar, sino armonizar.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Ciudad futurista,Líder positivo,Resolver un conflicto amistosamente,Largo,"La ciudad de Orionis se había dividido en dos filosofías irreconciliables: los Sintéticos, que creían en la evolución mediante mejoras cibernéticas, y los Naturales, que defendían la pureza biológica. Las tensiones estallaban en sabotajes mutuos y censura cruzada. Lira, una historiadora, fue elegida para liderar la primera Cumbre de Reconciliación. En lugar de imponer acuerdos, decidió crear un relato común. Propuso un proyecto artístico: un mural viviente llamado ""El Rostro de Orionis"". Invitó a miles de voluntarios de ambos bandos a aportar algo de sí mismos —un código, una célula, un recuerdo digital—. Cada fragmento sería procesado por una IA neutral y proyectado en la gran plaza. El proceso duró semanas, con enfrentamientos y discusiones, pero Lira no cedió al miedo. Con paciencia y empatía, convirtió cada conflicto en diálogo. Cuando la obra se encendió, el rostro proyectado no era humano ni máquina, sino una mezcla fascinante y armoniosa. La multitud guardó silencio. Por primera vez, ambos bandos se vieron reflejados en algo más grande que sus diferencias. Lira subió al estrado y dijo: ""Esto no es el fin de la división, es el principio de una conversación eterna"". Años después, el mural seguía cambiando, adaptándose a las contribuciones de nuevas generaciones. La ciudad no volvió a ser perfecta, pero aprendió a convivir con su propia dualidad, guiada por el liderazgo paciente de quien entendió que la paz no se firma, se cultiva.",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
